TrialNumber,BlockNumber,Run,StepNumber,ConditionCode,ConditionName,Domain,QuestionResult,ReversalPoints,StairCaseValue,TimeStampStartQuestion,TimestampEndQuestion,ResponseTime,Attempt,percent,log_percent,SCV_abs,max_strength,ReversalVal,Subject,Study,Filename
4,1,1,1,330201,Ripple,Perception,0,0,0.0359125,145313684,145316457,2.772967,1,100,4.61512051684126,0.0359125,0.0359125,,063,05,Answers_Sub-063_Plan-Wonderland_JND_RunID-20230122-145113.csv
5,1,1,2,330201,Ripple,Perception,1,0,0.0359125,145325212,145327262,2.050253,1,100,4.61512051684126,0.0359125,0.0359125,,063,05,Answers_Sub-063_Plan-Wonderland_JND_RunID-20230122-145113.csv
6,1,1,3,330201,Ripple,Perception,0,0,0.02693437,145336070,145337655,1.585247,1,74.9999860772712,4.33073315709251,0.02693437,0.0359125,,063,05,Answers_Sub-063_Plan-Wonderland_JND_RunID-20230122-145113.csv
7,1,1,4,330201,Ripple,Perception,0,0,0.0359125,145346509,145350725,4.216596,1,100,4.61512051684126,0.0359125,0.0359125,,063,05,Answers_Sub-063_Plan-Wonderland_JND_RunID-20230122-145113.csv
8,1,1,5,330201,Ripple,Perception,1,1,0.0359125,145359535,145402563,3.028982,1,100,4.61512051684126,0.0359125,0.0359125,0.0359125,063,05,Answers_Sub-063_Plan-Wonderland_JND_RunID-20230122-145113.csv
9,1,1,6,330201,Ripple,Perception,0,1,0.02693437,145420992,145424272,3.280021,1,74.9999860772712,4.33073315709251,0.02693437,0.0359125,0.02693437,063,05,Answers_Sub-063_Plan-Wonderland_JND_RunID-20230122-145113.csv
10,1,1,7,330201,Ripple,Perception,0,0,0.0359125,145433760,145435687,1.927022,1,100,4.61512051684126,0.0359125,0.0359125,,063,05,Answers_Sub-063_Plan-Wonderland_JND_RunID-20230122-145113.csv
11,1,1,8,330201,Ripple,Perception,0,0,0.0359125,145444777,145456686,11.90829,1,100,4.61512051684126,0.0359125,0.0359125,,063,05,Answers_Sub-063_Plan-Wonderland_JND_RunID-20230122-145113.csv
12,1,1,9,330201,Ripple,Perception,1,1,0.0359125,145506040,145507301,1.260839,1,100,4.61512051684126,0.0359125,0.0359125,0.0359125,063,05,Answers_Sub-063_Plan-Wonderland_JND_RunID-20230122-145113.csv
13,1,1,10,330201,Ripple,Perception,0,1,0.02693437,145517465,145520316,2.850915,1,74.9999860772712,4.33073315709251,0.02693437,0.0359125,0.02693437,063,05,Answers_Sub-063_Plan-Wonderland_JND_RunID-20230122-145113.csv
14,1,1,11,330201,Ripple,Perception,0,0,0.0359125,145529906,145534019,4.11287,1,100,4.61512051684126,0.0359125,0.0359125,,063,05,Answers_Sub-063_Plan-Wonderland_JND_RunID-20230122-145113.csv
15,1,1,12,330201,Ripple,Perception,1,1,0.0359125,145542495,145544857,2.361414,1,100,4.61512051684126,0.0359125,0.0359125,0.0359125,063,05,Answers_Sub-063_Plan-Wonderland_JND_RunID-20230122-145113.csv
36,3,1,1,290201,Delay,Self,1,0,0.2535,150145270,150147264,1.993302,1,100,4.61512051684126,0.2535,0.2535,,063,05,Answers_Sub-063_Plan-Wonderland_JND_RunID-20230122-145113.csv
37,3,1,2,290201,Delay,Self,0,0,0.190125,150155853,150157237,1.383747,1,75,4.33073334028633,0.190125,0.2535,,063,05,Answers_Sub-063_Plan-Wonderland_JND_RunID-20230122-145113.csv
38,3,1,3,290201,Delay,Self,1,0,0.2535,150206658,150207737,1.079783,1,100,4.61512051684126,0.2535,0.2535,,063,05,Answers_Sub-063_Plan-Wonderland_JND_RunID-20230122-145113.csv
39,3,1,4,290201,Delay,Self,1,0,0.190125,150216476,150218469,1.993219,1,75,4.33073334028633,0.190125,0.2535,,063,05,Answers_Sub-063_Plan-Wonderland_JND_RunID-20230122-145113.csv
40,3,1,5,290201,Delay,Self,1,0,0.1425938,150227048,150229051,2.002424,1,56.2500197238659,4.04742798695596,0.1425938,0.2535,,063,05,Answers_Sub-063_Plan-Wonderland_JND_RunID-20230122-145113.csv
41,3,1,6,290201,Delay,Self,0,1,0.1069454,150237396,150238668,1.272356,1,42.1875345167653,3.76555190075802,0.1069454,0.2535,0.1069454,063,05,Answers_Sub-063_Plan-Wonderland_JND_RunID-20230122-145113.csv
42,3,1,7,290201,Delay,Self,1,1,0.1425939,150247256,150248291,1.034429,1,56.2500591715976,4.04742867599884,0.1425939,0.2535,0.1425939,063,05,Answers_Sub-063_Plan-Wonderland_JND_RunID-20230122-145113.csv
43,3,1,8,290201,Delay,Self,0,1,0.1069454,150256942,150258248,1.305737,1,42.1875345167653,3.76555190075802,0.1069454,0.2535,0.1069454,063,05,Answers_Sub-063_Plan-Wonderland_JND_RunID-20230122-145113.csv
44,3,1,9,290201,Delay,Self,0,0,0.1425939,150307224,150308680,1.456526,1,56.2500591715976,4.04742867599884,0.1425939,0.2535,,063,05,Answers_Sub-063_Plan-Wonderland_JND_RunID-20230122-145113.csv
45,3,1,10,290201,Delay,Self,1,1,0.1901252,150317385,150332595,15.20979,1,75.0000788954635,4.330734378384,0.1901252,0.2535,0.1901252,063,05,Answers_Sub-063_Plan-Wonderland_JND_RunID-20230122-145113.csv
46,3,1,11,290201,Delay,Self,0,1,0.1425939,150341495,150343521,2.026389,1,56.2500591715976,4.04742867599884,0.1425939,0.2535,0.1425939,063,05,Answers_Sub-063_Plan-Wonderland_JND_RunID-20230122-145113.csv
4,1,1,13,2210101,Light,Nature,0,0,4.1616,151031945,151033402,1.457353,1,100,4.61512051684126,4.1616,4.1616,,063,05,Answers_Sub-063_Plan-Wonderland_JND_RunID-20230122-145113.csv
5,1,1,14,2210101,Light,Nature,0,0,4.1616,151043770,151046288,2.517606,1,100,4.61512051684126,4.1616,4.1616,,063,05,Answers_Sub-063_Plan-Wonderland_JND_RunID-20230122-145113.csv
6,1,1,15,2210101,Light,Nature,0,0,4.1616,151110878,151112024,1.145282,1,100,4.61512051684126,4.1616,4.1616,,063,05,Answers_Sub-063_Plan-Wonderland_JND_RunID-20230122-145113.csv
7,1,1,16,2210101,Light,Nature,1,0,4.1616,151120385,151121691,1.306028,1,100,4.61512051684126,4.1616,4.1616,,063,05,Answers_Sub-063_Plan-Wonderland_JND_RunID-20230122-145113.csv
8,1,1,17,2210101,Light,Nature,1,0,3.74544,151143660,151147399,3.739235,1,90,4.51085950651685,3.74544,4.1616,,063,05,Answers_Sub-063_Plan-Wonderland_JND_RunID-20230122-145113.csv
9,1,1,18,2210101,Light,Nature,1,0,3.370896,151156065,151157282,1.217218,1,81,4.40671924726425,3.370896,4.1616,,063,05,Answers_Sub-063_Plan-Wonderland_JND_RunID-20230122-145113.csv
10,1,1,19,2210101,Light,Nature,0,1,3.033806,151206316,151208197,1.880972,1,72.8999903883122,4.30271269789071,3.033806,4.1616,3.033806,063,05,Answers_Sub-063_Plan-Wonderland_JND_RunID-20230122-145113.csv
11,1,1,20,2210101,Light,Nature,1,1,3.370896,151217006,151219004,1.997823,1,81,4.40671924726425,3.370896,4.1616,3.370896,063,05,Answers_Sub-063_Plan-Wonderland_JND_RunID-20230122-145113.csv
12,1,1,21,2210101,Light,Nature,1,0,3.033806,151227838,151230330,2.492061,1,72.8999903883122,4.30271269789071,3.033806,4.1616,,063,05,Answers_Sub-063_Plan-Wonderland_JND_RunID-20230122-145113.csv
13,1,1,22,2210101,Light,Nature,0,1,2.730425,151239726,151240848,1.121663,1,65.6099817377932,4.19885444225891,2.730425,4.1616,2.730425,063,05,Answers_Sub-063_Plan-Wonderland_JND_RunID-20230122-145113.csv
14,1,1,23,2210101,Light,Nature,0,0,3.033806,151249823,151251063,1.240729,1,72.8999903883122,4.30271269789071,3.033806,4.1616,,063,05,Answers_Sub-063_Plan-Wonderland_JND_RunID-20230122-145113.csv
15,1,1,24,2210101,Light,Nature,0,0,3.370896,151259686,151300723,1.036952,1,81,4.40671924726425,3.370896,4.1616,,063,05,Answers_Sub-063_Plan-Wonderland_JND_RunID-20230122-145113.csv
16,1,1,25,2210101,Light,Nature,1,1,3.74544,151309179,151310708,1.528504,1,90,4.51085950651685,3.74544,4.1616,3.74544,063,05,Answers_Sub-063_Plan-Wonderland_JND_RunID-20230122-145113.csv
