Condition,resp_porp,stim_val,pr2
Grow,0.25,4.20192334482633+0i,0.93462499337392
Grow,0.5,4.3635104799059+0i,0.93462499337392
Grow,0.75,4.52509767216372+0i,0.93462499337392
Grow,0.95,4.79658825734148+0i,0.93462499337392
Shrink,0.25,4.0483053639641+0i,0.908467098356709
Shrink,0.5,4.17259174182375+0i,0.908467098356709
Shrink,0.75,4.29687902534509+0i,0.908467098356709
Shrink,0.95,4.50570823073689+0i,0.908467098356709
Delay,0.25,3.59068860427511+0i,0.758328009229635
Delay,0.5,3.84222030081908+0i,0.758328009229635
Delay,0.75,4.09375155591659+0i,0.758328009229635
Delay,0.95,4.51636072880008+0i,0.758328009229635
Heavy,0.25,3.91967833530191+0i,0.265874177271827
Heavy,0.5,4.09716389002311+0i,0.265874177271827
Heavy,0.75,4.27464948694471+0i,0.265874177271827
Heavy,0.95,4.57285137175413+0i,0.265874177271827
Light,0.25,3.52478080649534+0i,0.571478314470083
Light,0.5,3.6453240608047+0i,0.571478314470083
Light,0.75,3.76586729605747+0i,0.571478314470083
Light,0.95,3.96839728709033+0i,0.571478314470083
Fast,0.25,4.05723324910278+0i,0.614379900329682
Fast,0.5,4.1168095192975+0i,0.614379900329682
Fast,0.75,4.18177881401333+0i,0.614379900329682
Fast,0.95,4.34413173140008+0.163664786665362i,0.614379900329682
Saturated,0.25,3.57159192334145+0i,0.941916402911116
Saturated,0.5,3.72070068238206+0i,0.941916402911116
Saturated,0.75,3.86980551822586+0i,0.941916402911116
Saturated,0.95,4.12032069529618+0i,0.941916402911116
Unsaturated,0.25,3.52113040458679+0i,0.607329974374636
Unsaturated,0.5,3.81739914500855+0i,0.607329974374636
Unsaturated,0.75,4.11366788497475+0i,0.607329974374636
Unsaturated,0.95,4.61144199632315+0i,0.607329974374636
Ripple,0.25,3.61255255093409+0i,0.942087415645269
Ripple,0.5,3.7635123339629+0i,0.942087415645269
Ripple,0.75,3.91448516140795+0i,0.942087415645269
Ripple,0.95,4.16826498876953+0i,0.942087415645269
