Condition,resp_porp,stim_val,pr2
Grow,0.25,0.184621115575646+0i,0.038904663
Grow,0.5,0.242710168243581+0i,0.038904663
Grow,0.75,0.303451264704466+0i,0.038904663
Grow,0.999,0.416026176980818+0.162585854820527i,0.038904663
Shrink,0.25,0.204788809571637+0i,-0.053753851
Shrink,0.5,0.262551038403509+0i,-0.053753851
Shrink,0.75,0.323050600280818+0i,-0.053753851
Shrink,0.999,0.432868974459483+0.161547922295485i,-0.053753851
Real Delay,0.25,0.346933313738594+0i,-0.057726536
Real Delay,0.5,0.418969386521666+0i,-0.057726536
Real Delay,0.75,0.501952909888672+0i,-0.057726536
Real Delay,0.999,0.555559768749488+0.193526737052538i,-0.057726536
High Gravity,0.25,0.631238959294302+0i,0.946360968
High Gravity,0.5,0.665918618933509+0i,0.946360968
High Gravity,0.75,0.700598297977373+0i,0.946360968
High Gravity,0.999,0.883976872114782+0i,0.946360968
Low Gravity,0.25,0.364930855286864+0i,0.913892415
Low Gravity,0.5,0.399338368188064+0i,0.913892415
Low Gravity,0.75,0.433742373543707+0i,0.913892415
Low Gravity,0.999,0.615640554405806+0i,0.913892415
Slow Time,0.25,0.344025268436417+0i,-0.06858613
Slow Time,0.5,0.381194895839514+0i,-0.06858613
Slow Time,0.75,0.422701958846406+0i,-0.06858613
Slow Time,0.999,0.46018262893433+0.101101705216286i,-0.06858613
Fast Time,0.25,0.085610302165682+0i,-0.127627088
Fast Time,0.5,0.123900683445488+0i,-0.127627088
Fast Time,0.75,0.170580209088858+0i,-0.127627088
Fast Time,0.999,0.184965440234501+0.100749057648822i,-0.127627088
High Saturation,0.25,0.304723176354995+0i,0.9183497
High Saturation,0.5,0.371323755647064+0i,0.9183497
High Saturation,0.75,0.437924323473216+0i,0.9183497
High Saturation,0.999,0.790049076936579+0i,0.9183497
Low Saturation,0.25,-0.0617647472680759+0i,0.926475874
Low Saturation,0.5,-0.00725212296312008+0i,0.926475874
Low Saturation,0.75,0.047260288015904+0i,0.926475874
Low Saturation,0.999,0.335480153570502+0i,0.926475874
Ripple,0.25,0.925660819089585+0i,-0.170148472
Ripple,0.5,0.997625152487262+0i,-0.170148472
Ripple,0.75,1.07847173095715+0i,-0.170148472
Ripple,0.999,1.14691342270117+0.195218378861966i,-0.170148472
