Condition,resp_porp,stim_val,pr2
Grow,0.25,0.594260036378773,0.845921976043233
Grow,0.5,0.649006139390946,0.845921976043233
Grow,0.75,0.703751953994228,0.845921976043233
Grow,0.999,0.993183871999978,0.845921976043233
Shrink,0.25,0.671406825252258,0.346012511405299
Shrink,0.5,0.8102089686585,0.346012511405299
Shrink,0.75,0.949011111701871,0.346012511405299
Shrink,0.999,1.68283175509547,0.346012511405299
Real Delay,0.25,1.3075208313127,0.946457935241075
Real Delay,0.5,1.37520304713619,0.946457935241075
Real Delay,0.75,1.44288426323897,0.946457935241075
Real Delay,0.999,1.80069926945917,0.946457935241075
High Gravity,0.25,1.85278960537953,0.945730638341726
High Gravity,0.5,1.88762019159023,0.945730638341726
High Gravity,0.75,1.92245079112986,0.945730638341726
High Gravity,0.999,2.10662618111648,0.945730638341726
Low Gravity,0.25,1.46195377768935,0.913994032511604
Low Gravity,0.5,1.4963748985152,0.913994032511604
Low Gravity,0.75,1.53079597711874,0.913994032511604
Low Gravity,0.999,1.71278468719033,0.913994032511604
Slow Time,0.25,1.39278729547755,0.918951504156432
Slow Time,0.5,1.42716251371322,0.918951504156432
Slow Time,0.75,1.46153774850891,0.918951504156432
Slow Time,0.999,1.643285934715,0.918951504156432
Fast Time,0.25,1.50137297049573,0.75111812850317
Fast Time,0.5,1.56324200261998,0.75111812850317
Fast Time,0.75,1.62511097746416,0.75111812850317
Fast Time,0.999,1.95220135883484,0.75111812850317
High Saturation,0.25,0.827785257179323,0.919562799913928
High Saturation,0.5,0.894063824015687,0.919562799913928
High Saturation,0.75,0.960342312136018,0.919562799913928
High Saturation,0.999,1.31075325589204,0.919562799913928
Low Saturation,0.25,0.417870241070051,0.934346015947716
Low Saturation,0.5,0.486189215855149,0.934346015947716
Low Saturation,0.75,0.554493585467602,0.934346015947716
Low Saturation,0.999,0.915572154582741,0.934346015947716
Ripple,0.25,0.982819946219975,0.927963702541309
Ripple,0.5,1.08823324749703,0.927963702541309
Ripple,0.75,1.19364655377205,0.927963702541309
Ripple,0.999,1.75095099572426,0.927963702541309
