Condition,resp_porp,stim_val,pr2
Grow,0.25,4.02285904693054+0i,0.898122098138204
Grow,0.5,4.14588906216279+0i,0.898122098138204
Grow,0.75,4.26891904080044+0i,0.898122098138204
Grow,0.95,4.47562732557387+0i,0.898122098138204
Shrink,0.25,3.59799014761691+0i,0.834267838647082
Shrink,0.5,3.80491035954718+0i,0.834267838647082
Shrink,0.75,4.01183008067705+0i,0.834267838647082
Shrink,0.95,4.35948467261182+0i,0.834267838647082
Delay,0.25,0.855477341323333+0i,0.478768148519851
Delay,0.5,1.47477909791136+0i,0.478768148519851
Delay,0.75,2.09408088571719+0i,0.478768148519851
Delay,0.95,3.13459727804545+0i,0.478768148519851
Heavy,0.25,3.45800364992943+0i,0.965134854788842
Heavy,0.5,3.51438391095474+0i,0.965134854788842
Heavy,0.75,3.57075938307312+0i,0.965134854788842
Heavy,0.95,3.66547527645229+0i,0.965134854788842
Light,0.25,3.62509722341521+0i,0.376150396330543
Light,0.5,3.68702359677166+0i,0.376150396330543
Light,0.75,3.76088899665839+0i,0.376150396330543
Light,0.95,3.82226891133196+0.164208895793475i,0.376150396330543
Slow,0.25,3.72304587141352+0i,0.332801425653117
Slow,0.5,3.97992198274243+0i,0.332801425653117
Slow,0.75,4.23679811678554+0i,0.332801425653117
Slow,0.95,4.66838727217585+0i,0.332801425653117
Fast,0.25,4.03627185454868+0i,0.932280623444957
Fast,0.5,4.09270257626807+0i,0.932280623444957
Fast,0.75,4.14913333170563+0i,0.932280623444957
Fast,0.95,4.24394673203674+0i,0.932280623444957
Saturated,0.25,1.97678505455574+0i,0.308362041716925
Saturated,0.5,2.53071601138079+0i,0.308362041716925
Saturated,0.75,3.08464695585665+0i,0.308362041716925
Saturated,0.95,4.01533067041629+0i,0.308362041716925
Unsaturated,0.25,3.19617196131608+0i,0.950234965695816
Unsaturated,0.5,3.34447726626379+0i,0.950234965695816
Unsaturated,0.75,3.49277855376375+0i,0.950234965695816
Unsaturated,0.95,3.74194354177159+0i,0.950234965695816
Ripple,0.25,3.56240858034509+0i,0.940633724747897
Ripple,0.5,3.71309619225641+0i,0.940633724747897
Ripple,0.75,3.8637838215527+0i,0.940633724747897
Ripple,0.95,4.11696092964789+0i,0.940633724747897
