Condition,prob,my_thresholds,Mcf_pR
Delay,0.25,4.27440749754125,-0.667573345661514
Delay,0.5,4.67745653659369,-0.667573345661514
Delay,0.75,5.06938724547703,-0.667573345661514
Delay,0.95,5.72117770752228,-0.667573345661514
Light,0.25,4.5233103397467,0.994832063692062
Light,0.5,4.56337706303197,0.994832063692062
Light,0.75,4.6034437434423,0.994832063692062
Light,0.95,4.67076151173213,0.994832063692062
Ripple,0.25,3.70164275630504,0.423267944829015
Ripple,0.5,3.97672513347895,0.423267944829015
Ripple,0.75,4.25180896704765,0.423267944829015
Ripple,0.95,4.71400327669641,0.423267944829015
