TrialNumber,BlockNumber,Run,StepNumber,ConditionCode,ConditionName,Domain,QuestionResult,ReversalPoints,StairCaseValue,TimeStampStartQuestion,TimestampEndQuestion,ResponseTime,Attempt,percent,log_percent,SCV_abs,max_strength,ReversalVal,Subject,Study,Filename
4,1,1,1,2210101,Light,Nature,1,0,4.1616,151709181,151710400,1.218686,1,100,4.61512051684126,4.1616,4.1616,,003,04,Answers_Sub-003_Plan-JND_RunID-20220606-151601_2_.csv
5,1,1,2,2210101,Light,Nature,1,0,3.53736,151719640,151720684,1.044254,1,85,4.45434729625351,3.53736,4.1616,,003,04,Answers_Sub-003_Plan-JND_RunID-20220606-151601_2_.csv
6,1,1,3,2210101,Light,Nature,1,0,3.006756,151729702,151730357,0.6549527,1,72.25,4.29387824789718,3.006756,4.1616,,003,04,Answers_Sub-003_Plan-JND_RunID-20220606-151601_2_.csv
7,1,1,4,2210101,Light,Nature,0,0,2.555743,151739644,151740709,1.065179,1,61.4125096116878,4.13376572982932,2.555743,4.1616,,003,04,Answers_Sub-003_Plan-JND_RunID-20220606-151601_2_.csv
8,1,1,5,2210101,Light,Nature,1,1,3.006756,151749516,151750237,0.7211962,1,72.25,4.29387824789718,3.006756,4.1616,3.006756,003,04,Answers_Sub-003_Plan-JND_RunID-20220606-151601_2_.csv
9,1,1,6,2210101,Light,Nature,1,0,2.555743,151759066,151759822,0.7557309,1,61.4125096116878,4.13376572982932,2.555743,4.1616,,003,04,Answers_Sub-003_Plan-JND_RunID-20220606-151601_2_.csv
10,1,1,7,2210101,Light,Nature,1,0,2.172382,151808408,151808926,0.518079,1,52.2006439830834,3.97407050121951,2.172382,4.1616,,003,04,Answers_Sub-003_Plan-JND_RunID-20220606-151601_2_.csv
11,1,1,8,2210101,Light,Nature,1,0,1.846525,151818459,151820968,2.509015,1,44.3705545943868,3.81486331741396,1.846525,4.1616,,003,04,Answers_Sub-003_Plan-JND_RunID-20220606-151601_2_.csv
12,1,1,9,2210101,Light,Nature,1,0,1.569546,151829966,151831086,1.119927,1,37.7149653979239,3.65622622807421,1.569546,4.1616,,003,04,Answers_Sub-003_Plan-JND_RunID-20220606-151601_2_.csv
13,1,1,10,2210101,Light,Nature,1,0,1.334114,151840151,151840701,0.5498723,1,32.0577181853133,3.49825506960292,1.334114,4.1616,,003,04,Answers_Sub-003_Plan-JND_RunID-20220606-151601_2_.csv
14,1,1,11,2210101,Light,Nature,0,1,1.133997,151849723,151850410,0.6869383,1,27.2490628604383,3.34106028396038,1.133997,4.1616,1.133997,003,04,Answers_Sub-003_Plan-JND_RunID-20220606-151601_2_.csv
15,1,1,12,2210101,Light,Nature,0,0,1.334114,151859574,151900485,0.9106693,1,32.0577181853133,3.49825506960292,1.334114,4.1616,,003,04,Answers_Sub-003_Plan-JND_RunID-20220606-151601_2_.csv
16,1,1,13,2210101,Light,Nature,1,1,1.569546,151909638,151910491,0.8522146,1,37.7149653979239,3.65622622807421,1.569546,4.1616,1.569546,003,04,Answers_Sub-003_Plan-JND_RunID-20220606-151601_2_.csv
17,1,1,14,2210101,Light,Nature,0,1,1.334114,151919421,151919995,0.5746421,1,32.0577181853133,3.49825506960292,1.334114,4.1616,1.334114,003,04,Answers_Sub-003_Plan-JND_RunID-20220606-151601_2_.csv
18,1,1,15,2210101,Light,Nature,0,0,1.569546,151928957,151929826,0.8694584,1,37.7149653979239,3.65622622807421,1.569546,4.1616,,003,04,Answers_Sub-003_Plan-JND_RunID-20220606-151601_2_.csv
19,1,1,16,2210101,Light,Nature,0,0,1.846525,151938714,151939344,0.6300106,1,44.3705545943868,3.81486331741396,1.846525,4.1616,,003,04,Answers_Sub-003_Plan-JND_RunID-20220606-151601_2_.csv
20,1,1,17,2210101,Light,Nature,1,1,2.172382,151948164,151948727,0.5631653,1,52.2006439830834,3.97407050121951,2.172382,4.1616,2.172382,003,04,Answers_Sub-003_Plan-JND_RunID-20220606-151601_2_.csv
24,2,1,1,3020201,Saturated,Perception,1,0,21.97,152035685,152036284,0.5991554,1,100,4.61512051684126,21.97,21.97,,003,04,Answers_Sub-003_Plan-JND_RunID-20220606-151601_2_.csv
25,2,1,2,3020201,Saturated,Perception,1,0,14.2805,152046033,152047358,1.325286,1,65,4.18965474202643,14.2805,21.97,,003,04,Answers_Sub-003_Plan-JND_RunID-20220606-151601_2_.csv
26,2,1,3,3020201,Saturated,Perception,1,0,9.282325,152056346,152057609,1.262081,1,42.25,3.76699723337789,9.282325,21.97,,003,04,Answers_Sub-003_Plan-JND_RunID-20220606-151601_2_.csv
27,2,1,4,3020201,Saturated,Perception,1,0,6.033511,152106240,152106837,0.596526,1,27.4624988620847,3.3485873914104,6.033511,21.97,,003,04,Answers_Sub-003_Plan-JND_RunID-20220606-151601_2_.csv
28,2,1,5,3020201,Saturated,Perception,0,1,3.921782,152115825,152116779,0.9538253,1,17.8506235776058,2.93654599438695,3.921782,21.97,3.921782,003,04,Answers_Sub-003_Plan-JND_RunID-20220606-151601_2_.csv
29,2,1,6,3020201,Saturated,Perception,0,0,6.033511,152128399,152129962,1.561829,1,27.4624988620847,3.3485873914104,6.033511,21.97,,003,04,Answers_Sub-003_Plan-JND_RunID-20220606-151601_2_.csv
30,2,1,7,3020201,Saturated,Perception,1,1,9.282325,152141374,152142522,1.147862,1,42.25,3.76699723337789,9.282325,21.97,9.282325,003,04,Answers_Sub-003_Plan-JND_RunID-20220606-151601_2_.csv
31,2,1,8,3020201,Saturated,Perception,1,0,6.033511,152151383,152151891,0.5086886,1,27.4624988620847,3.3485873914104,6.033511,21.97,,003,04,Answers_Sub-003_Plan-JND_RunID-20220606-151601_2_.csv
32,2,1,9,3020201,Saturated,Perception,0,1,3.921782,152200763,152201948,1.184421,1,17.8506235776058,2.93654599438695,3.921782,21.97,3.921782,003,04,Answers_Sub-003_Plan-JND_RunID-20220606-151601_2_.csv
33,2,1,10,3020201,Saturated,Perception,0,0,6.033511,152210738,152212954,2.216408,1,27.4624988620847,3.3485873914104,6.033511,21.97,,003,04,Answers_Sub-003_Plan-JND_RunID-20220606-151601_2_.csv
34,2,1,11,3020201,Saturated,Perception,1,1,9.282325,152222338,152223016,0.6775864,1,42.25,3.76699723337789,9.282325,21.97,9.282325,003,04,Answers_Sub-003_Plan-JND_RunID-20220606-151601_2_.csv
35,2,1,12,3020201,Saturated,Perception,1,0,6.033511,152232825,152233489,0.6638922,1,27.4624988620847,3.3485873914104,6.033511,21.97,,003,04,Answers_Sub-003_Plan-JND_RunID-20220606-151601_2_.csv
36,2,1,13,3020201,Saturated,Perception,1,0,3.921782,152242424,152243796,1.372016,1,17.8506235776058,2.93654599438695,3.921782,21.97,,003,04,Answers_Sub-003_Plan-JND_RunID-20220606-151601_2_.csv
37,2,1,14,3020201,Saturated,Perception,0,1,2.549158,152252294,152253324,1.030407,1,11.6029039599454,2.53392726041415,2.549158,21.97,2.549158,003,04,Answers_Sub-003_Plan-JND_RunID-20220606-151601_2_.csv
41,3,1,1,330101,Ripple,Perception,1,0,0.0359125,152342071,152343480,1.409284,1,100,4.61512051684126,0.0359125,0.0359125,,003,04,Answers_Sub-003_Plan-JND_RunID-20220606-151601_2_.csv
