X.Index,TrialNumber,BlockNumber,QuestionResult,TimeOfHit,StairCaseValue,PositiveAnswersCount,NegativeAnswersCount,ConvertedValue,ConsequtiveCounter,SessionID,TimeStampStartQuestion,TimestampEndQuestion,ResponseTime,QuestionID,Phase,ProbabilityComment,InitialDirection,TimesatmpInitialDirection,Attempt
0,0,1,0,QuestionRow,,,,,,20231213-110113,110124954,110126273,1.319609,9992,,"",0,,1
1,0,38029,NoAnswerInTime,QuestionRow,,,,,,20231213-111809,111821157,111831160,-1,88,,"",0,,1
1,0,38029,1,QuestionRow,,,,,,20231213-111809,111839307,111843775,4.46809,88,, Positive Answer not inhibted counter is 1 from 1 reset Staircase was 0.4500000000   Staircase is 0.6428571000  ,0,,1
1,0,38029,0,QuestionRow,,,,,,20231213-111809,111852376,111854106,1.730639,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.6428571000   Staircase is 0.4500000000  ,0,,1
2,0,38027,0,QuestionRow,,,,,,20231213-111809,111902707,111904828,2.120539,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.3500000000   Staircase is 0.2450000000  ,0,,1
3,1,3802,0,QuestionRow,,,,,,20231213-111809,111913449,111914900,1.450762,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.2500000000   Staircase is 0.1750000000  ,0,,1
3,1,3802,0,QuestionRow,,,,,,20231213-111809,111923557,111924715,1.158187,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.1750000000   Staircase is 0.1225000000  ,0,,1
3,1,3802,0,QuestionRow,,,,,,20231213-111809,111933351,111934519,1.167618,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.1225000000   Staircase is 0.0857500000  ,0,,1
3,1,3802,1,QuestionRow,,,,,,20231213-111809,111943140,111945739,2.599013,88,, Positive Answer not inhibted counter is 1 from 1 reset Staircase was 0.0857500000   Staircase is 0.1225000000  ,0,,1
3,1,3802,0,QuestionRow,,,,,,20231213-111809,111954330,111955495,1.164902,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.1225000000   Staircase is 0.0857500000  ,0,,1
3,1,3802,0,QuestionRow,,,,,,20231213-111809,112004157,112005354,1.197469,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0857500000   Staircase is 0.0600250000  ,0,,1
3,1,3802,0,QuestionRow,,,,,,20231213-111809,112013947,112015028,1.080531,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0600250000   Staircase is 0.0420175000  ,0,,1
3,1,3802,0,QuestionRow,,,,,,20231213-111809,112023664,112024790,1.125989,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0420175000   Staircase is 0.0294122500  ,0,,1
3,1,3802,0,QuestionRow,,,,,,20231213-111809,112033431,112035005,1.573972,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0294122500   Staircase is 0.0205885700  ,0,,1
3,1,3802,1,QuestionRow,,,,,,20231213-111809,112043619,112045010,1.391226,88,, Positive Answer not inhibted counter is 1 from 1 reset Staircase was 0.0205885700   Staircase is 0.0294122400  ,0,,1
3,1,3802,1,QuestionRow,,,,,,20231213-111809,112053609,112054926,1.317451,88,, Positive Answer not inhibted counter is 1 from 1 reset Staircase was 0.0294122400   Staircase is 0.0420174900  ,0,,1
3,1,3802,1,QuestionRow,,,,,,20231213-111809,112103512,112104585,1.072268,88,, Positive Answer not inhibted counter is 1 from 1 reset Staircase was 0.0420174900   Staircase is 0.0600249900  ,0,,1
3,1,3802,1,QuestionRow,,,,,,20231213-111809,112113243,112114263,1.019947,88,, Positive Answer not inhibted counter is 1 from 1 reset Staircase was 0.0600249900   Staircase is 0.0857499900  ,0,,1
3,1,3802,0,QuestionRow,,,,,,20231213-111809,112122912,112124295,1.383071,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0857499900   Staircase is 0.0600249900  ,0,,1
3,1,3802,0,QuestionRow,,,,,,20231213-111809,112132946,112134341,1.395373,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0600249900   Staircase is 0.0420174900  ,0,,1
3,1,3802,1,QuestionRow,,,,,,20231213-111809,112142989,112144801,1.812502,88,, Positive Answer not inhibted counter is 1 from 1 reset Staircase was 0.0420174900   Staircase is 0.0600249900  ,0,,1
3,1,3802,0,QuestionRow,,,,,,20231213-111809,112153460,112154543,1.083223,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0600249900   Staircase is 0.0420174900  ,0,,1
4,0,99,NoAnswerInTime,QuestionRow,,,,,,20231213-111809,112155374,112200389,-1,50,,"",0,,1
