X.Index,TrialNumber,BlockNumber,QuestionResult,TimeOfVaseHit,StairCaseValue,PositiveAnswersCount,NegativeAnswersCount,ConvertedValue,ConsequtiveCounter,SessionID,TimeStampStartQuestion,TimestampEndQuestion,ResponseTime,QuestionID,Phase,ProbabilityComment,InitialDirection,TimesatmpInitialDirection,Attempt
0,1,0,0,QuestionRow,,,,,,20231213-122350,122355382,122355943,0.561805,9992,,"",0,,1
1,38029,0,NoAnswerInTime,QuestionRow,0.45,0,0,0.45,1,20231213-122350,122404607,122414623,-1,88,,"",0,,1
1,38029,0,1,QuestionRow,0.45,1,0,0.45,2,20231213-122350,122422765,122424509,1.744133,88,, Positive Answer not inhibted counter is 1 from 1 reset Staircase was 0.4500000000   Staircase is 0.6428571000  ,0,,1
1,38029,0,1,QuestionRow,0.6428571,2,0,0.6428571,3,20231213-122350,122433204,122434658,1.454201,88,, Positive Answer not inhibted counter is 1 from 1 reset Staircase was 0.6428571000   Staircase is 0.9183673000  ,0,,1
2,38027,0,0,QuestionRow,0.35,0,1,0.35,4,20231213-122350,122443309,122445063,1.754638,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.3500000000   Staircase is 0.2450000000  ,0,,1
3,3822,1,0,QuestionRow,0.0420175,0,6,0.0420175,10,20231213-122350,122545855,122546918,1.062389,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0420175000   Staircase is 0.0294122500  ,0,,1
3,3822,1,0,QuestionRow,0.02941225,0,7,0.02941225,11,20231213-122350,122555534,122556694,1.160447,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0294122500   Staircase is 0.0205885700  ,0,,1
3,3822,1,0,QuestionRow,0.02058857,0,8,0.02058857,12,20231213-122350,122605352,122606446,1.094637,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0205885700   Staircase is 0.0144120000  ,0,,1
3,3822,1,0,QuestionRow,0.014412,0,9,0.014412,13,20231213-122350,122615073,122616232,1.158241,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0144120000   Staircase is 0.0100884000  ,0,,1
3,3822,1,0,QuestionRow,0.0100884,0,10,0.0100884,14,20231213-122350,122624853,122626129,1.275258,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0100884000   Staircase is 0.0070618800  ,0,,1
3,3822,1,0,QuestionRow,0.00706188,0,11,0.00706188,15,20231213-122350,122634764,122635798,1.03429,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0070618800   Staircase is 0.0049433160  ,0,,1
3,3822,1,0,QuestionRow,0.004943316,0,12,0.004943316,16,20231213-122350,122644470,122645042,0.5719961,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0049433160   Staircase is 0.0034603210  ,0,,1
3,3822,1,0,QuestionRow,0.003460321,0,13,0.003460321,17,20231213-122350,122653636,122654543,0.9074008,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0034603210   Staircase is 0.0024222250  ,0,,1
3,3822,1,0,QuestionRow,0.002422225,0,14,0.002422225,18,20231213-122350,122703159,122704176,1.01757,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0024222250   Staircase is 0.0016955570  ,0,,1
3,3822,1,1,QuestionRow,0.001695557,1,14,0.001695557,19,20231213-122350,122712794,122713850,1.055984,88,, Positive Answer not inhibted counter is 1 from 1 reset Staircase was 0.0016955570   Staircase is 0.0024222240  ,0,,1
3,3822,1,1,QuestionRow,0.002422224,2,14,0.002422224,20,20231213-122350,122722431,122723772,1.341258,88,, Positive Answer not inhibted counter is 1 from 1 reset Staircase was 0.0024222240   Staircase is 0.0034603200  ,0,,1
