TrialNumber,BlockNumber,Run,StepNumber,ConditionCode,ConditionName,Domain,QuestionResult,ReversalPoints,StairCaseValue,TimeStampStartQuestion,TimestampEndQuestion,ResponseTime,Attempt,percent,log_percent,SCV_abs,max_strength,ReversalVal,Subject,Study,Filename
10,1,1,1,3822,Plant,Normal,1,0,0.0420175,122545855,122546918,1.062389,1,100,4.61512051684126,0.0420175,0.0420175,,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
11,1,1,2,3822,Plant,Normal,1,0,0.02941225,122555534,122556694,1.160447,1,70,4.26267987704132,0.02941225,0.0420175,,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
12,1,1,3,3822,Plant,Normal,1,0,0.02058857,122605352,122606446,1.094637,1,48.9999881001964,3.91202276743205,0.02058857,0.0420175,,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
13,1,1,4,3822,Plant,Normal,1,0,0.014412,122615073,122616232,1.158241,1,34.2999940500982,3.56388279538678,0.014412,0.0420175,,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
14,1,1,5,3822,Plant,Normal,1,0,0.0100884,122624853,122626129,1.275258,1,24.0099958350687,3.21927557835888,0.0100884,0.0420175,,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
15,1,1,6,3822,Plant,Normal,1,0,0.00706188,122634764,122635798,1.03429,1,16.8069970845481,2.87959147469412,0.00706188,0.0420175,,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
16,1,1,7,3822,Plant,Normal,1,0,0.004943316,122644470,122645042,0.5719961,1,11.7648979591837,2.54669905686468,0.004943316,0.0420175,,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
17,1,1,8,3822,Plant,Normal,1,0,0.003460321,122653636,122654543,0.9074008,1,8.23542809543643,2.22304696833603,0.003460321,0.0420175,,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
18,1,1,9,3822,Plant,Normal,1,0,0.002422225,122703159,122704176,1.01757,1,5.76480038079372,1.91173275354419,0.002422225,0.0420175,,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
19,1,1,10,3822,Plant,Normal,0,1,0.001695557,122712794,122713850,1.055984,1,4.03535907657524,1.61648483972998,0.001695557,0.0420175,0.001695557,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
20,1,1,11,3822,Plant,Normal,0,0,0.002422224,122722431,122723772,1.341258,1,5.76479800083299,1.91173240172876,0.002422224,0.0420175,,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
21,1,1,12,3822,Plant,Normal,1,1,0.00346032,122732396,122733287,0.8911566,1,8.23542571547569,2.22304671063698,0.00346032,0.0420175,0.00346032,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
22,1,1,13,3822,Plant,Normal,1,0,0.002422224,122741901,122742892,0.9905985,1,5.76479800083299,1.91173240172876,0.002422224,0.0420175,,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
23,1,1,14,3822,Plant,Normal,0,1,0.001695557,122751489,122752603,1.113252,1,4.03535907657524,1.61648483972998,0.001695557,0.0420175,0.001695557,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
24,1,1,15,3822,Plant,Normal,0,0,0.002422224,122801199,122802143,0.9444807,1,5.76479800083299,1.91173240172876,0.002422224,0.0420175,,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
28,2,1,1,1210202,Slow,Nature,1,0,-0.56,122846284,122847356,1.07156,1,100,4.61512051684126,0.56,-0.56,,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
