X.Index,TrialNumber,BlockNumber,QuestionResult,TimeOfVaseHit,StairCaseValue,PositiveAnswersCount,NegativeAnswersCount,ConvertedValue,ConsequtiveCounter,SessionID,TimeStampStartQuestion,TimestampEndQuestion,ResponseTime,QuestionID,Phase,ProbabilityComment,InitialDirection,TimesatmpInitialDirection,Attempt
2,302029,0,0,NotAVase,52,0,1,52,1,20230116-171736,171818386,171820232,1.845775,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 52.0000000000   Staircase is 33.8000000000  ,-1,171819622,1
2,302029,0,0,NotAVase,33.8,0,2,33.8,2,20230116-171736,171839404,171840966,1.562034,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 33.8000000000   Staircase is 21.9700000000  ,-1,171840283,1
3,302027,0,0,NotAVase,33.8,0,1,33.8,3,20230116-171736,171850596,171852250,1.653929,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 33.8000000000   Staircase is 21.9700000000  ,-1,171851509,1
4,3020201,1,0,NotAVase,21.97,0,1,21.97,4,20230116-171736,171901290,171902712,1.422473,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 21.9700000000   Staircase is 14.2805000000  ,-1,171902138,1
4,3020201,1,0,NotAVase,14.2805,0,2,14.2805,5,20230116-171736,171912191,171913952,1.761582,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 14.2805000000   Staircase is 9.2823250000  ,-1,171913129,1
4,3020201,1,0,NotAVase,9.282325,0,3,9.282325,6,20230116-171736,171925454,171926857,1.402431,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 9.2823250000   Staircase is 6.0335110000  ,-1,171926259,1
4,3020201,1,1,NotAVase,6.033511,1,3,6.033511,7,20230116-171736,171936377,171937941,1.5639,88,, Positive Answer not inhibted counter is 1 from 1 reset Staircase was 6.0335110000   Staircase is 9.2823250000  ,1,171937331,1
4,3020201,1,1,NotAVase,9.282325,2,3,9.282325,8,20230116-171736,171947362,171949348,1.985476,88,, Positive Answer not inhibted counter is 1 from 1 reset Staircase was 9.2823250000   Staircase is 14.2805000000  ,1,171948653,1
4,3020201,1,0,NotAVase,14.2805,2,4,14.2805,9,20230116-171736,171958367,171959687,1.320628,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 14.2805000000   Staircase is 9.2823250000  ,-1,171959158,1
4,3020201,1,1,NotAVase,9.282325,3,4,9.282325,10,20230116-171736,172008660,172010971,2.311076,88,, Positive Answer not inhibted counter is 1 from 1 reset Staircase was 9.2823250000   Staircase is 14.2805000000  ,1,172010409,1
