Study,Subject,Mcf_pR,Condition,my_thresholds,prob,Level,my_thresholds_real,max_strength,jnd_anti_log,jnd_weighted_threshold,adj_stim_val,adjusted_status,shifted_threshold,max_shifted_strength
5,23,0.783846334272528,Delay,3.83832211883692+0i,0.25,1,3.83832211883692,0.39,45.4474756772496,0.17724,0.17724,0,0.17724,0.39
5,23,0.783846334272528,Delay,3.97745979740907+0i,0.5,2,3.97745979740907,0.39,52.3812626351699,0.20428,0.20428,0,0.20428,0.39
5,23,0.783846334272528,Delay,4.1165974797829+0i,0.75,3,4.1165974797829,0.39,60.3501416343674,0.23536,0.23536,0,0.23536,0.39
5,23,0.783846334272528,Delay,4.35036883940412+0i,0.95,4,4.35036883940412,0.39,76.5070453061885,0.29837,0.29837,0,0.29837,0.39
5,23,0.420591632314651,Fast,3.60656395983463+0i,0.25,1,3.60656395983463,0.36992,35.8392539403612,0.13257,0.13257,0,1.13257,1.36992
5,23,0.420591632314651,Fast,3.70188697570516+0i,0.5,2,3.70188697570516,0.36992,39.5236994959485,0.1462,0.1462,0,1.1462,1.36992
5,23,0.420591632314651,Fast,3.80610589777089+0i,0.75,3,3.80610589777089,0.36992,43.9749603291123,0.16267,0.16267,0,1.16267,1.36992
5,23,0.420591632314651,Fast,4.05384189491999+0.261579961052976i,0.95,4,4.05384189491999,0.36992,56.6183961848101,0.20944,0.20944,0,1.20944,1.36992
5,23,0.790682172967382,Grow,3.60242566807338+0i,0.25,1,3.60242566807338,0.07563,35.6871173691662,0.02699,0.02699,0,0.02699,0.07563
5,23,0.790682172967382,Grow,3.71894107645904+0i,0.5,2,3.71894107645904,0.07563,40.2207213973977,0.03041,0.03041,0,0.03041,0.07563
5,23,0.790682172967382,Grow,3.83545648421539+0i,0.75,3,3.83545648421539,0.07563,45.3145647109534,0.03427,0.03427,0,0.03427,0.07563
5,23,0.790682172967382,Grow,4.03121915100661+0i,0.95,4,4.03121915100661,0.07563,55.3295436218211,0.04184,0.04184,0,0.04184,0.07563
5,23,0.338569013935296,Heavy,3.33079746067329+0i,0.25,1,3.33079746067329,-11.7504,26.9606303179875,-3.16798,-3.16798,0,-12.97798,-21.5604
5,23,0.338569013935296,Heavy,3.57105067396868+0i,0.5,2,3.57105067396868,-11.7504,34.5539291220405,-4.06022,-4.06022,0,-13.87022,-21.5604
5,23,0.338569013935296,Heavy,3.81130624971122+0i,0.75,3,3.81130624971122,-11.7504,44.2094551506599,-5.19478,-5.19478,0,-15.00478,-21.5604
5,23,0.338569013935296,Heavy,4.21499258515541+0i,0.95,4,4.21499258515541,-11.7504,66.6936639310732,-7.83677,-7.83677,0,-17.64677,-21.5604
5,23,0.59053994027114,Light,2.36057763697677+0i,0.25,1,2.36057763697677,4.162,9.59707094486428,0.39943,0.39943,0,-9.41057,-5.648
5,23,0.59053994027114,Light,2.92436398144915+0i,0.5,2,2.92436398144915,4.162,17.6223781046064,0.73344,0.73344,0,-9.07656,-5.648
5,23,0.59053994027114,Light,3.48815028962128+0i,0.75,3,3.48815028962128,4.162,31.7253592513054,1.3204,1.3204,0,-8.4896,-5.648
5,23,0.59053994027114,Light,4.43539257322765+0i,0.95,4,4.43539257322765,4.162,83.3852457749785,3.47049,3.47049,0,-6.33951,-5.648
5,23,0.922377180890226,Ripple,3.50937038512381+0i,0.25,1,3.50937038512381,0.03591,32.4272148852699,0.01164,0.01164,0,0.01164,0.03591
5,23,0.922377180890226,Ripple,3.65759969731632+0i,0.5,2,3.65759969731632,0.03591,37.76817574513,0.01356,0.01356,0,0.01356,0.03591
5,23,0.922377180890226,Ripple,3.80582949115762+0i,0.75,3,3.80582949115762,0.03591,43.9625306705449,0.01578,0.01578,0,0.01578,0.03591
5,23,0.922377180890226,Ripple,4.05488164184574+0i,0.95,4,4.05488164184574,0.03591,56.6783358907724,0.02035,0.02035,0,0.02035,0.03591
5,23,0.90728151575451,Saturated,3.71574454007889+0i,0.25,1,3.71574454007889,21.97,40.0891682310917,8.80759,8.80759,0,8.80759,21.97
5,23,0.90728151575451,Saturated,3.86296263122343+0i,0.5,2,3.86296263122343,21.97,46.6061822127695,10.23937,10.23937,0,10.23937,21.97
5,23,0.90728151575451,Saturated,4.0101806839944+0i,0.75,3,4.0101806839944,21.97,54.1568356205519,11.89825,11.89825,0,11.89825,21.97
5,23,0.90728151575451,Saturated,4.25752824750513+0i,0.95,4,4.25752824750513,21.97,69.6351748318364,15.29884,15.29884,0,15.29884,21.97
5,23,0.989137050006549,Shrink,4.27947991926978+0i,0.25,1,4.27947991926978,-0.15434,71.2028789147818,-0.1099,-0.1099,0,-0.1099,-0.15434
5,23,0.989137050006549,Shrink,4.42286052823033+0i,0.5,2,4.42286052823033,-0.15434,82.3343249255822,-0.12708,-0.12708,0,-0.12708,-0.15434
5,23,0.989137050006549,Shrink,4.56624113635795+0i,0.75,3,4.56624113635795,-0.15434,95.1818948135654,-0.14691,-0.14691,0,-0.14691,-0.15434
5,23,0.989137050006549,Shrink,4.80714118549612+0i,0.95,4,4.80714118549612,-0.15434,121.381251643167,-0.18735,-0.15434,1,-0.15434,-0.15434
5,23,0.983339273695717,Unsaturated,3.78297703155379+0i,0.25,1,3.78297703155379,-14.2805,42.9466778317907,-6.133,-6.133,0,-6.133,-14.2805
5,23,0.983339273695717,Unsaturated,3.95612968230175+0i,0.5,2,3.95612968230175,-14.2805,51.2546918142586,-7.31942,-7.31942,0,-7.31942,-14.2805
5,23,0.983339273695717,Unsaturated,4.12928239532955+0i,0.75,3,4.12928239532955,-14.2805,61.1333197724968,-8.73014,-8.73014,0,-8.73014,-14.2805
5,23,0.983339273695717,Unsaturated,4.4202046847753+0i,0.95,4,4.4202046847753,-14.2805,82.1132956436544,-11.72618,-11.72618,0,-11.72618,-14.2805
